Video_ID,Teks_Komentar,text_normalized_temp
MIo4tGN11j0,"Sempat mikir mau pindah ke negara sebelah, ngeapply citizenship. Tapi yah, aku cinta negara dan harapanku semoga negara ini bisa sembuh secepatnya.","sempat mikir mau pindah ke negara sebelah, ngeapply citizenship. tapi yah, aku cinta negara dan harapanku semoga negara ini bisa sembuh secepatnya."
MIo4tGN11j0,"Kalo kabur mau kemana ke Singapur ,emang di Singapur tinggal dimana rakyat Singapur aja nggak punya rumah mereka masih nyicil😂""katanya negara kaya Singapur ""","kalau kabur mau kemana ke singapur ,emang di singapur tinggal dimana rakyat singapur saja tidak punya rumah mereka masih nyicil😂""katanya negara kaya singapur """
MIo4tGN11j0,Klo sudah gelap susah terangnya lebih baik bubar,kalau sudah gelap susah terangnya lebih baik bubar
MIo4tGN11j0,Siap siap ente motivator Indonesia gelap...dapet cipratan Marcela Santoso atau engga,siap siap ente motivator indonesia gelap...dapet cipratan marcela santoso atau tidak
MIo4tGN11j0,"Diskusi yg segar,menarik dan bermutu... Antara Raymond dan FS saling mengisi tanpa dominan atau menonjolkan diri... Hebatnya lg mereka berdua upgrade dgn  zaman saat ini sehingga topiknya mnjd menarik,tdk membosankan... Seandainya Indonesia memiliki 30% rakyat secerdas mereka berdua, Insyaallah Indonesia pasti maju... Semoga sehat selalu mereka berdua.... Aamiin yra","diskusi yang segar,menarik dan bermutu... antara raymond dan fs saling mengisi tanpa dominan atau menonjolkan diri... hebatnya lagi mereka berdua upgrade dengan zaman saat ini sehingga topiknya menjadi menarik,tdk membosankan... seandainya indonesia memiliki 30% rakyat secerdas mereka berdua, insyaallah indonesia pasti maju... semoga sehat selalu mereka berdua.... aamiin yra"
MIo4tGN11j0,Jangan di take down ya video ini 😂 biar jadi pengingat agar tidak mudah terinfluence netizen buzzer Indonesia gelap.,jangan di take down ya video ini 😂 biar jadi pengingat agar tidak mudah terinfluence netizen buzzer indonesia gelap.
MIo4tGN11j0,Nah loh....marcela santoso koruptor CPO seorang pemodal Indonesia gelap. 😂😂😂😂,nah loh....marcela santoso koruptor cpo seorang pemodal indonesia gelap. 😂😂😂😂
MIo4tGN11j0,Pengen kabur tapi gak punya uang😭,pengen kabur tapi tidak punya uang😭
MIo4tGN11j0,Kalau mau pindah ke luar negeri ya silahkan saja...kenapa mesti koar koar ya. Kagak ngatri ane...,kalau mau pindah ke luar negeri ya silahkan saja...kenapa mesti koar koar ya. tidak ngatri ane...
MIo4tGN11j0,18.35_sosoknya mr. TM di era awal indo berdiri. Tiap masa_ada orang nya Tiap orang_ada masa nya Tuhan_pemilik masa Kebenaran_ada jalanya sendiri.,18.35_sosoknya mr. tm di era awal indo berdiri. tiap masa_ada orang nya tiap orang_ada masa nya tuhan_pemilik masa kebenaran_ada jalanya sendiri.
MIo4tGN11j0,Arab Saudi investasi di Amerika 10.000 triliun sedangkan di negara ini hanya 50 miliar🤣,arab saudi investasi di amerika 10.000 triliun sedangkan di negara ini hanya 50 miliar🤣
MIo4tGN11j0,"1 hal orang"" bagi yg sudah diluar negeri semuanya diujung pemikirannya pasti pengen balik ke Indonesia.  Kecuali yg suka dunia fleksibilitas nya glamor pasti memilih hidup diluar negeri . Mitisnya diluar negeri pajaknya tinggi semua pasti ngeluh   Sebenernya dunia inu sudah tidak baik"" saja dlm ekonomi,  gk usah munafik","1 hal orang"" bagi yang sudah diluar negeri semuanya diujung pemikirannya pasti pengen balik ke indonesia. kecuali yang suka dunia fleksibilitas nya glamor pasti memilih hidup diluar negeri . mitisnya diluar negeri pajaknya tinggi semua pasti mengeluh sebenarnya dunia inu sudah tidak baik"" saja dalam ekonomi, tidak usah munafik"
MIo4tGN11j0,"Kak ini dari aku minta tolong, dari belajar ke kaka yg emg bner* masih nol banget la termasuknya, dari ""kosakata2 asing"" yang kaka pake minta tolong ada penjelasannya ya kak biar ngga ke skip. Soalnya kl ke skip ya bingung juga di kelanjutannya 😭🙏🏻 tapi uda keren bgt. Aku banyak belajar dan jadi makin banyak tau informasi dari kak ray. Makasi kak🙏🏻","kakak ini dari aku minta tolong, dari belajar ke kaka yang memang bner* masih nol banget la termasuknya, dari ""kosakata2 asing"" yang kaka pakai minta tolong ada penjelasannya ya kakak biar tidak ke skip. soalnya kalau ke skip ya bingung juga di kelanjutannya 😭🙏🏻 tapi sudah keren bgt. aku banyak belajar dan jadi makin banyak tahu informasi dari kakak ray. terima kasih kak🙏🏻"
MIo4tGN11j0,"aku yang masih sma agak bingung sma pembahasan iniii, banyak bahasa yang  aku kurang tau, tpi its ok lah blajar sdikit"" kta, ada yang snasib tidak ini?😵😵","aku yang masih sma agak bingung sma pembahasan iniii, banyak bahasa yang aku kurang tau, tapi its ok lah blajar sdikit"" kta, ada yang snasib tidak ini?😵😵"
MIo4tGN11j0,Org semacam ini yg sepatut nya memimpin indonesia.bukan sekalas wapppprrs,orang semacam ini yang sepatut nya memimpin indonesia.bukan sekalas wapppprrs
MIo4tGN11j0,"Saya udah kabur 30 tahun dari indonesia, yang disayang kan indonesia memegang sistem 1 kewarganegaraan, jadi orang2 yang milih jadi warga negara lain harus lepas kewarga negara an Indonesia, moga2 bisa dirubah, supaya orang2 indonesia yang sudah tinggal di luar jadi warga negara laen, masi bisa pulang dan menetap di homeland in the future if a change happens in their life.","saya sudah kabur 30 tahun dari indonesia, yang disayang kan indonesia memegang sistem 1 kewarganegaraan, jadi orang2 yang milih jadi warga negara lain harus lepas kewarga negara an indonesia, moga2 bisa dirubah, supaya orang2 indonesia yang sudah tinggal di luar jadi warga negara laen, masih bisa pulang dan menetap di homeland in the future if a change happens in their life."
MIo4tGN11j0,"YANG PASTI SUDAH TIDAK NASIONALIS ITU ADALAH PARA WAKIL RAKYAT DAN PARA BIROKRAT NEGERI KITA. APA ALASANNYA SEHINGGA MENYATAKAN SEPERT ITU (?) 1. Korupsi tidak sungguh sungguh untuk diatasi, ( jika memang sungguh sungguh berniat untuk memberantas KORUPSI, sehatusnya para KORUPTOR dihukum seberat beratnya, yaitu HUKUMAN MATI & PEMISKINAN PARA KORUPTOR.( Pengembalian Asset Negara ).  SUMBER DAYA ALAM NEGERI KITA ITU SANGAT KAYA, tapi tidak pernah dibukakan lapangan kerjanya. ( Bisa untuk Pertanian Rakyat atau Pertambangan Rakyat )  PAHLAWAN DI NEGERI YANG BOBROK AKAN DIANGGAP SEBAGAI PESAKITAN  seperti PELAKU KEJAHATAN .  Dan itu semua sudah terjadi di negeri kita; ( betapa bobroknya moral pembuat aturan & moral pengambil keputusan.)","yang pasti sudah tidak nasionalis itu adalah para wakil rakyat dan para birokrat negeri kita. apa alasannya sehingga menyatakan sepert itu (?) 1. korupsi tidak sungguh sungguh untuk diatasi, ( jika memang sungguh sungguh berniat untuk memberantas korupsi, sehatusnya para koruptor dihukum seberat beratnya, yaitu hukuman mati & pemiskinan para koruptor.( pengembalian asset negara ). sumber daya alam negeri kita itu sangat kaya, tapi tidak pernah dibukakan lapangan kerjanya. ( bisa untuk pertanian rakyat atau pertambangan rakyat ) pahlawan di negeri yang bobrok akan dianggap sebagai pesakitan seperti pelaku kejahatan . dan itu semua sudah terjadi di negeri kita; ( betapa bobroknya moral pembuat aturan & moral pengambil keputusan.)"
MIo4tGN11j0,"Mau tapi.. Bukan gx bisa,bukan gx mampu Tapi gax ""boleh"" Emg gini di +62...  Kalo mau naik derajat mending kabur ajah dulu... kecuali loe org"" yg iq nya di atas rata""","mau tapi.. bukan tidak bisa,bukan tidak mampu tapi gax ""boleh"" memang gini di +62... kalau mau naik derajat mending kabur saja dulu... kecuali kamu org"" yang iq nya di atas rata"""
MIo4tGN11j0,"Perjuangan kita berat kawan, karena kita bukan melawan musuh dari luar, tetapi musuh saudara kita sendiri.","perjuangan kita berat kawan, karena kita bukan melawan musuh dari luar, tetapi musuh saudara kita sendiri."
