Teks_Komentar,teks_final
"Kalo kabur mau kemana ke Singapur ,emang di Singapur tinggal dimana rakyat Singapur aja nggak punya rumah mereka masih nyicil😂""katanya negara kaya Singapur """,kabur singapur singapur tinggal rakyat singapur rumah nyicilwajahgembiraberuraiairmatakatanya negara kayak singapur
Klo sudah gelap susah terangnya lebih baik bubar,gelap susah terang bubar
Pengen kabur tapi gak punya uang😭,pengin kabur uangwajahmenangiskeras
"1 hal orang"" bagi yg sudah diluar negeri semuanya diujung pemikirannya pasti pengen balik ke Indonesia.  Kecuali yg suka dunia fleksibilitas nya glamor pasti memilih hidup diluar negeri . Mitisnya diluar negeri pajaknya tinggi semua pasti ngeluh   Sebenernya dunia inu sudah tidak baik"" saja dlm ekonomi,  gk usah munafik",orang negeri ujung pikir pengin indonesia kecuali suka dunia fleksibilitas glamor pilih hidup negeri mitisnya negeri pajak ngeluh dunia inu ekonomi munafik
"Saya udah kabur 30 tahun dari indonesia, yang disayang kan indonesia memegang sistem 1 kewarganegaraan, jadi orang2 yang milih jadi warga negara lain harus lepas kewarga negara an Indonesia, moga2 bisa dirubah, supaya orang2 indonesia yang sudah tinggal di luar jadi warga negara laen, masi bisa pulang dan menetap di homeland in the future if a change happens in their life.",kabur indonesia sayang indonesia pegang sistem kewarganegaraan orangorang pilih warga negara lepas warga negara indonesia moga rubah orangorang indonesia tinggal warga negara pulang homeland future change happens life
"YANG PASTI SUDAH TIDAK NASIONALIS ITU ADALAH PARA WAKIL RAKYAT DAN PARA BIROKRAT NEGERI KITA. APA ALASANNYA SEHINGGA MENYATAKAN SEPERT ITU (?) 1. Korupsi tidak sungguh sungguh untuk diatasi, ( jika memang sungguh sungguh berniat untuk memberantas KORUPSI, sehatusnya para KORUPTOR dihukum seberat beratnya, yaitu HUKUMAN MATI & PEMISKINAN PARA KORUPTOR.( Pengembalian Asset Negara ).  SUMBER DAYA ALAM NEGERI KITA ITU SANGAT KAYA, tapi tidak pernah dibukakan lapangan kerjanya. ( Bisa untuk Pertanian Rakyat atau Pertambangan Rakyat )  PAHLAWAN DI NEGERI YANG BOBROK AKAN DIANGGAP SEBAGAI PESAKITAN  seperti PELAKU KEJAHATAN .  Dan itu semua sudah terjadi di negeri kita; ( betapa bobroknya moral pembuat aturan & moral pengambil keputusan.)",nasionalis wakil rakyat birokrat negeri alas nyata sepert korupsi sungguh sungguh sungguh sungguh niat berantas korupsi sehatusnya koruptor hukum berat berat hukum mati miskin koruptor asset negara sumber daya alam negeri kayak buka lapang kerja tani rakyat tambang rakyat pahlawan negeri bobrok anggap sakit laku jahat negeri betapa bobrok moral atur moral ambil putus
"Mau tapi.. Bukan gx bisa,bukan gx mampu Tapi gax ""boleh"" Emg gini di +62...  Kalo mau naik derajat mending kabur ajah dulu... kecuali loe org"" yg iq nya di atas rata""",bisabukan gax derajat mending kabur kecuali orang iq
Berbahagialah teuku firmansyah dan keluarganya yg bisa kabur duluan,bahagia teuku firmansyah keluarga kabur duluan
"Menurut saya ya, mau siapapun yang jadi presiden, Indonesia tuh tetep bakal kayak gini, kecuali sistem pemerintahan nya yang diubah",presiden indonesia kayak kecuali sistem perintah ubah
"Kabur aja dulu, minimal duitnya.. males megang rupiah",kabur minimal duit malas pegang rupiah
Org2 cerdas baik nya kabur ajah dlu Trus bikin lapangan krja di luar  Ajakin org2 yg cerdas lain nya Biar indonesia sepi  Agar para pejabat yg rakus makin kenyang,orangorang cerdas kabur bikin lapang krja ajak orangorang cerdas indonesia sepi jabat rakus kenyang
"Aku pengen kerja yang layak dan adil, tapi pertanyaan nya dimana? Saya gak bisa kabur kemana2.. Bagaimana cara nya keadilan itu bisa ter aplikasi di sistem sekarang, karna virus2 itu sudah menjadi kanker yang mengakar.",pengin kerja layak adil kabur adil ter aplikasi sistem virus kanker akar
PEMAHAMAN / AQIDAH bila SESAT.......politik di bawa bawa ke AGAMA .,paham aqidah sesatpolitik bawa bawa agama
Aku milih kabur aja dulu ya Krn mmng ngga puas SM keadaan di Indonesia buat cari kerja susah gajinya minim.apalagi buat aku yg berpendidikan rendah dan SDH menikah SDH berumur.kerja di LN gaji 1 BLN kalau kerja di Indonesia kerja 6bln 🤣🤣.kabur aja dulu demi kehidupanku masa depan anakku yg layak,pilih kabur mmng puas indonesia cari kerja susah gaji minimapalagi didik rendah meni berumurkerja ln gaji kerja indonesia kerja bln tertawaterbahakbahaktertawaterbahakbahakkabur hidup anak layak
"Gw yakin hal2 hebat yang kalian lakukan yang tulus untuk Indonesia, meskipun nggak akan membuat perubahan banyak , tapi dari perubahan2 kecil,  yang orang2 tonton disini akan jadi perubahan hebat nanti nya.  Gw ngga akan kabur, meskipun diindo memang sesulit ini. Salut bgt, meski taruhannya nyawa, kalian mempertaruhkan untuk banyak orang.  Semoga Allah SWT selalu melindungi orang2 baik🤲🤲🤲",gue halhal hebat laku tulus indonesia ubah ubah orangorang tonton ubah hebat gue kabur diindo sulit salut banget taruh nyawa taruh orang moga allah swt lindung orangorang baiktangandiangkatdandirapatkanbersamatangandiangkatdandirapatkanbersamatangandiangkatdandirapatkanbersama
"Setuju. Inti akar masalahnya di keadilan yang penegakannya samgat kurang di negeri ini, yang mana sebelumnya udah jadi akar masalah bertahun tahun. Thank Raymond dan Ust Felix udah diskusi soal ini. Semoga semakin banyak influencer2 yang speak up soal ini yang nantinya bikin pemerintah BENAR BENAR berbenah diri. Saya salah satu orang yang kabur aja dulu dari 2023. Sebetulnya bukannya gak bisa bekerja di Indonesia, tetapi saya merasa ruang gerak saya untuk maju terbatas karena banyaknya corrupt system di negeri ini dan membuat saya bahkan dari jaman sekolah memang udah memikirkan buat kabur aja dulu supaya mengeksplor lebih banyak hal..  Tapi semoga kedepannya Indonesia semakin baik dan hukum beneran ditegakkan seadil2nya dan pro ke kepentingan rakyat..",tuju inti akar adil tega samgat negeri akar thank raymond ust felix diskusi moga influencer speak bikin perintah benah salah orang kabur kerja indonesia ruang gerak maju batas corrupt system negeri jaman sekolah pikir kabur mengeksplor moga indonesia hukum tegak adil pro rakyat
"Islam adalah agama paripurna, dan soalan politik pun sudah diatur di sana. Tentunya politik untuk meriayah umat, bukan malah sebaliknya.. Saatnya umat kembali pada fitrahnya, hidup dalam tatanan aturan yang bukan hanya berorientasi pada duniawi semata, namun juga ukhrawi.. Yukk, ngaji Islam kaffah biar nggak salah kaprah dan salah arah 😉☺️",islam agama paripurna politik atur politik meriayah umat umat fitrah hidup tatanan atur orientasi duniawi ukhrawi yuk aji islam kaffah salah kaprah salah arah wajahberkedipwajahtersenyum
Bagi yang punya modal  ✔️ kabur aja dulu Bagi yang gk punya modal ❌ misuh aja dulu  😂😅,modal tandacentangtebal kabur modal tandasilang misuh wajahgembiraberuraiairmatawajahtersenyumlebardanberkeringat
"Nyatanya dari dulu orang indonesia sangat banyak kerja di luar negri,karna kerja di indonesia khususnya kaum menengah ke bawah sangat sulit  punya sisa buat nabung dari hasil kerja",nyata orang indonesia kerja negerikarena kerja indonesia khusus kaum sulit sisa nabung hasil kerja
Orang yg kerja di luar negeri kan menyumbang devisa negara juga jadi letak ga Nasionalisnya dimana?,orang kerja negeri sumbang devisa negara letak nasionalis
Sebaiknya jangan kabur dulu. Lawan aja dulu. Karena jumlahnya yg tak puas kan sebetulnya banyak. Maka LAWAN AJA DULU.,kabur lawan puas lawan
"Semoga Allah melindungi generasi muda dan rakyat Indonesia dan muslimin muslimat di seluruh dunia dari kesulitan, semakin gelap   akan datangnya fajar kebangkitan Islam agar semua sejahtera  InsyaAllah Alhamdulillah Aamiin Allohumma Aamiin ❤",moga allah lindung generasi muda rakyat indonesia muslimin muslimat dunia sulit gelap fajar bangkit islam sejahtera insyaallah alhamdulillah allohumma
"Pernahkah mendengar fenomena Tan Malaka? Kabur aja dulu..berjuang di negeri manca, tragis.. pulang"" tewas di negeri yg diperjuangkn utk kemerdekaan dr penjajahan. Tewas ditembak mati oleh tentara republik..bukan belanda",dengar fenomena tan malaka kabur duluberjuang negeri manca tragis pulang tewas negeri diperjuangkn merdeka jajah tewas tembak mati tentara republikbukan belanda
Mau kabur kemana..? Singapura-kah atau ke Beijing minta *suaka politik*..,kabur singapurakah beijing suaka politik
"Enak banget ya liat komenan disini, penuh dengan orang-orang yg melek politik dan juga keliatan teredukasi. Gue ngomen di ig yt postingan ny 3 pilar sby, Jokowi, Prabowo lagi nyanyi bareng. Terus gue bilang wah lihatlah ekspresi kebahagiaan yang ditunjukkan orang-orang di video ini sungguh berbeda sekali dengan apa yang gue liat di masyarakatnya. Behh langsung disangka buzzer😂 disuruh kerja lah, makannya kerja. Lah dikira kerjaan gue cuman ngetik sambil rebahan doang apa. Gue sadar dah sekacau itu pola pikir mereka, mereka semua ngiranya idup mereka baik-baik aja dan Indonesia dari dulu baik-baik aja🔥🔥🔥",enak banget lihat komentar penuh orangorang melek politik lihat edukasi gue komentar ig yt postingan pilar surabaya jokowi prabowo nyanyi bareng gue bilang lihat ekspresi bahagia orangorang video sungguh beda gue lihat masyarakat beh langsung sangka buzzerwajahgembiraberuraiairmata suruh kerja makan kerja kerja gue cuman etik rebah doang gue sadar deh kacau pola pikir ngiranya hidup baikbaik indonesia baikbaik sajaapiapiapi
"kalo ada pemerintah ngatain TKI ga nasionalis tp masih berharap devisa, itu another lv of comedy",perintah katai tki nasionalis harap devisa another lv comedy
Mau banget ikut ke luar negeri tapi ga ada modal dan chanel,banget negeri modal chanel
"Seandainya bisa kabur aja, aq pengen banget kerja di luar negeri. Gelar S1 di Indonesia ini, cuma jadi tenaga kontrak..sekarang malah dirumahkan karena efisiensi.  Tak ada pemasukan, kebutuhan harus dipenuhi, dan anak istri harus makan😢",kabur pengin banget kerja negeri gelar indonesia tenaga kontraksekarang rumah efisiensi pasu butuh penuh anak istri makanwajahmenangis
"Gue… ga ada opsi buat kabur pula, keluar rumah aja ga boleh sama istri gue",gue opsi kabur rumah istri gue
PEMERINTAH INDONESIA SEPERTI PEMERINTAH DI DUNIA ONE PIECE,perintah indonesia perintah dunia one piece
"Contoh pak BJ Habibi, dia belajar di Jerman kemudian sangat dibutuhkan di sana tapi pak Habibi milih pulang tapi di Negaranya sendiri gak diberi peluang, ya di beri peluang jadi menteri tapi bukan itu maksudnya tapi bagaimana pak Habibi itu bisa mengembangkan ilmunya seperti Jepang para profesor diberi kesempatan berkembang oleh negara, maka setelah di bom atom di dua kota, mereka bisa bangkit sampai sekarang",contoh bj habibi ajar jerman butuh habibi pilih pulang negara peluang peluang menteri maksud habibi kembang ilmu jepang profesor kembang negara bom atom kota bangkit
"Harusnya makin banyak anak muda yang seperti ini, (bukan anak muda yang dicariin kerja sama bapaknya, gaji gede kerjanya keliling keliling dowang)",anak muda anak muda dicariin kerja gaji gede kerja keliling keliling dowang
"Kabur aja dulu.bentuk frustasi rakyat kepada pemerintah,tpi pemerintah bukan ny berbenah malah nyari pembelaan",kabur dulubentuk frustasi rakyat pemerintahtapi perintah benah cari bela
"Rakyat mah udh ngasih pajak ke negara bhkn penjual aja sepi msh di kejar2 pajak.nah pejabat udh ngasih apa ke negara dan rakyat???pdhl mkn dan gaji  dr pajak, apa2 smua dr pajak.",rakyat mah asih pajak negara jual sepi kejar pajaknah jabat asih negara rakyatpadahal gaji pajak apaapa pajak
"Dulu aja chindo pada dukung pemerintahan Pak jokowi sejak periode 2014, sampai bela mati2an... sekarang 10th berjalan gimana KENYATAANNYA ????😂😂😂",chindo dukung perintah jokowi periode bela mati th jalan nyata wajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmata
