Teks_Komentar,teks_final,sentiment
"Sempat mikir mau pindah ke negara sebelah, ngeapply citizenship. Tapi yah, aku cinta negara dan harapanku semoga negara ini bisa sembuh secepatnya.",mikir pindah negara belah ngeapply citizenship yah cinta negara harap moga negara sembuh cepat,Negatif
"Kalo kabur mau kemana ke Singapur ,emang di Singapur tinggal dimana rakyat Singapur aja nggak punya rumah mereka masih nyicil😂""katanya negara kaya Singapur """,kabur singapur emang singapur tinggal rakyat singapur tidak rumah nyicil negara kaya singapur,Negatif
Klo sudah gelap susah terangnya lebih baik bubar,gelap susah terang bubar,Positif
Siap siap ente motivator Indonesia gelap...dapet cipratan Marcela Santoso atau engga,ente motivator indonesia gelap dapet ciprat marcela santoso tidak,Netral
"Diskusi yg segar,menarik dan bermutu... Antara Raymond dan FS saling mengisi tanpa dominan atau menonjolkan diri... Hebatnya lg mereka berdua upgrade dgn  zaman saat ini sehingga topiknya mnjd menarik,tdk membosankan... Seandainya Indonesia memiliki 30% rakyat secerdas mereka berdua, Insyaallah Indonesia pasti maju... Semoga sehat selalu mereka berdua.... Aamiin yra",diskusi segar tarik mutu raymond isi tidak dominan tonjol hebat upgrade zaman topik tarik tdk bosan indonesia milik rakyat cerdas insyaallah indonesia maju moga sehat yra,Netral
Jangan di take down ya video ini 😂 biar jadi pengingat agar tidak mudah terinfluence netizen buzzer Indonesia gelap.,tidak take video tidak mudah terinfluence buzzer indonesia gelap,Netral
Nah loh....marcela santoso koruptor CPO seorang pemodal Indonesia gelap. 😂😂😂😂,loh marcela santoso koruptor cpo orang modal indonesia gelap,Netral
Pengen kabur tapi gak punya uang😭,ken kabur tidak uang,Positif
Kalau mau pindah ke luar negeri ya silahkan saja...kenapa mesti koar koar ya. Kagak ngatri ane...,pindah luar negeri silah mesti koar koar tidak ngatri ane,Negatif
18.35_sosoknya mr. TM di era awal indo berdiri. Tiap masa_ada orang nya Tiap orang_ada masa nya Tuhan_pemilik masa Kebenaran_ada jalanya sendiri.,sosok era indo ada orang orang ada tuhan milik ada jala,Netral
Arab Saudi investasi di Amerika 10.000 triliun sedangkan di negara ini hanya 50 miliar🤣,arab saudi investasi amerika triliun negara miliar,Positif
"1 hal orang"" bagi yg sudah diluar negeri semuanya diujung pemikirannya pasti pengen balik ke Indonesia.  Kecuali yg suka dunia fleksibilitas nya glamor pasti memilih hidup diluar negeri . Mitisnya diluar negeri pajaknya tinggi semua pasti ngeluh   Sebenernya dunia inu sudah tidak baik"" saja dlm ekonomi,  gk usah munafik",orang luar negeri ujung pikir ken indonesia kecuali suka dunia fleksibilitas glamor pilih hidup luar negeri mitisnya luar negeri pajak keluh dunia inu tidak ekonomi tidak munafik,Negatif
"Kak ini dari aku minta tolong, dari belajar ke kaka yg emg bner* masih nol banget la termasuknya, dari ""kosakata2 asing"" yang kaka pake minta tolong ada penjelasannya ya kak biar ngga ke skip. Soalnya kl ke skip ya bingung juga di kelanjutannya 😭🙏🏻 tapi uda keren bgt. Aku banyak belajar dan jadi makin banyak tau informasi dari kak ray. Makasi kak🙏🏻",kakak tolong ajar kaka bner nol banget masuk kosakata asing kaka pakai tolong ada jelas kakak tidak skip skip bingung keren bgt ajar informasi kakak ray terima kasih kak,Netral
"aku yang masih sma agak bingung sma pembahasan iniii, banyak bahasa yang  aku kurang tau, tpi its ok lah blajar sdikit"" kta, ada yang snasib tidak ini?😵😵",sma bingung sma bahas iniii bahasa blajar sdikit kta ada snasib tidak,Netral
Org semacam ini yg sepatut nya memimpin indonesia.bukan sekalas wapppprrs,orang patut pimpin indonesia tidak kalas wapppprrs,Netral
