Video_ID,Teks_Komentar,sentiment
MIo4tGN11j0,"Sempat mikir mau pindah ke negara sebelah, ngeapply citizenship. Tapi yah, aku cinta negara dan harapanku semoga negara ini bisa sembuh secepatnya.",Negatif
MIo4tGN11j0,"Kalo kabur mau kemana ke Singapur ,emang di Singapur tinggal dimana rakyat Singapur aja nggak punya rumah mereka masih nyicil😂""katanya negara kaya Singapur """,Negatif
MIo4tGN11j0,Klo sudah gelap susah terangnya lebih baik bubar,Positif
MIo4tGN11j0,Pengen kabur tapi gak punya uang😭,Positif
MIo4tGN11j0,Kalau mau pindah ke luar negeri ya silahkan saja...kenapa mesti koar koar ya. Kagak ngatri ane...,Negatif
MIo4tGN11j0,Arab Saudi investasi di Amerika 10.000 triliun sedangkan di negara ini hanya 50 miliar🤣,Netral
MIo4tGN11j0,"1 hal orang"" bagi yg sudah diluar negeri semuanya diujung pemikirannya pasti pengen balik ke Indonesia.  Kecuali yg suka dunia fleksibilitas nya glamor pasti memilih hidup diluar negeri . Mitisnya diluar negeri pajaknya tinggi semua pasti ngeluh   Sebenernya dunia inu sudah tidak baik"" saja dlm ekonomi,  gk usah munafik",Negatif
MIo4tGN11j0,"Saya udah kabur 30 tahun dari indonesia, yang disayang kan indonesia memegang sistem 1 kewarganegaraan, jadi orang2 yang milih jadi warga negara lain harus lepas kewarga negara an Indonesia, moga2 bisa dirubah, supaya orang2 indonesia yang sudah tinggal di luar jadi warga negara laen, masi bisa pulang dan menetap di homeland in the future if a change happens in their life.",Positif
MIo4tGN11j0,"YANG PASTI SUDAH TIDAK NASIONALIS ITU ADALAH PARA WAKIL RAKYAT DAN PARA BIROKRAT NEGERI KITA. APA ALASANNYA SEHINGGA MENYATAKAN SEPERT ITU (?) 1. Korupsi tidak sungguh sungguh untuk diatasi, ( jika memang sungguh sungguh berniat untuk memberantas KORUPSI, sehatusnya para KORUPTOR dihukum seberat beratnya, yaitu HUKUMAN MATI & PEMISKINAN PARA KORUPTOR.( Pengembalian Asset Negara ).  SUMBER DAYA ALAM NEGERI KITA ITU SANGAT KAYA, tapi tidak pernah dibukakan lapangan kerjanya. ( Bisa untuk Pertanian Rakyat atau Pertambangan Rakyat )  PAHLAWAN DI NEGERI YANG BOBROK AKAN DIANGGAP SEBAGAI PESAKITAN  seperti PELAKU KEJAHATAN .  Dan itu semua sudah terjadi di negeri kita; ( betapa bobroknya moral pembuat aturan & moral pengambil keputusan.)",Positif
MIo4tGN11j0,"Mau tapi.. Bukan gx bisa,bukan gx mampu Tapi gax ""boleh"" Emg gini di +62...  Kalo mau naik derajat mending kabur ajah dulu... kecuali loe org"" yg iq nya di atas rata""",Positif
MIo4tGN11j0,Berbahagialah teuku firmansyah dan keluarganya yg bisa kabur duluan,Positif
MIo4tGN11j0,"Sistem tidak berjalan dengan baik ditambah oknum,  Tidak bisa ganti sistem,  Edukasi di ring luar dampak nya sangat kecil,  Kenapa ga coba masuk sistem dan membenahi peraturan dan berbagai hal lainnya dalam ketatanegaraan ,  Dengan gagasan inovasi representasi pemikiran koh Raymond dan ust felix untuk merubah Indonesia jadi lebih baik",Negatif
MIo4tGN11j0,"Menurut saya ya, mau siapapun yang jadi presiden, Indonesia tuh tetep bakal kayak gini, kecuali sistem pemerintahan nya yang diubah",Netral
MIo4tGN11j0,"Kabur aja dulu, minimal duitnya.. males megang rupiah",Positif
MIo4tGN11j0,Org2 cerdas baik nya kabur ajah dlu Trus bikin lapangan krja di luar  Ajakin org2 yg cerdas lain nya Biar indonesia sepi  Agar para pejabat yg rakus makin kenyang,Positif
MIo4tGN11j0,"Aku pengen kerja yang layak dan adil, tapi pertanyaan nya dimana? Saya gak bisa kabur kemana2.. Bagaimana cara nya keadilan itu bisa ter aplikasi di sistem sekarang, karna virus2 itu sudah menjadi kanker yang mengakar.",Negatif
MIo4tGN11j0,PEMAHAMAN / AQIDAH bila SESAT.......politik di bawa bawa ke AGAMA .,Netral
MIo4tGN11j0,Ingat negara ada di kaki tangan penguasa Si A B C,Netral
MIo4tGN11j0,Aku milih kabur aja dulu ya Krn mmng ngga puas SM keadaan di Indonesia buat cari kerja susah gajinya minim.apalagi buat aku yg berpendidikan rendah dan SDH menikah SDH berumur.kerja di LN gaji 1 BLN kalau kerja di Indonesia kerja 6bln 🤣🤣.kabur aja dulu demi kehidupanku masa depan anakku yg layak,Positif
MIo4tGN11j0,"Gw yakin hal2 hebat yang kalian lakukan yang tulus untuk Indonesia, meskipun nggak akan membuat perubahan banyak , tapi dari perubahan2 kecil,  yang orang2 tonton disini akan jadi perubahan hebat nanti nya.  Gw ngga akan kabur, meskipun diindo memang sesulit ini. Salut bgt, meski taruhannya nyawa, kalian mempertaruhkan untuk banyak orang.  Semoga Allah SWT selalu melindungi orang2 baik🤲🤲🤲",Negatif
MIo4tGN11j0,"Setuju. Inti akar masalahnya di keadilan yang penegakannya samgat kurang di negeri ini, yang mana sebelumnya udah jadi akar masalah bertahun tahun. Thank Raymond dan Ust Felix udah diskusi soal ini. Semoga semakin banyak influencer2 yang speak up soal ini yang nantinya bikin pemerintah BENAR BENAR berbenah diri. Saya salah satu orang yang kabur aja dulu dari 2023. Sebetulnya bukannya gak bisa bekerja di Indonesia, tetapi saya merasa ruang gerak saya untuk maju terbatas karena banyaknya corrupt system di negeri ini dan membuat saya bahkan dari jaman sekolah memang udah memikirkan buat kabur aja dulu supaya mengeksplor lebih banyak hal..  Tapi semoga kedepannya Indonesia semakin baik dan hukum beneran ditegakkan seadil2nya dan pro ke kepentingan rakyat..",Positif
MIo4tGN11j0,"Islam adalah agama paripurna, dan soalan politik pun sudah diatur di sana. Tentunya politik untuk meriayah umat, bukan malah sebaliknya.. Saatnya umat kembali pada fitrahnya, hidup dalam tatanan aturan yang bukan hanya berorientasi pada duniawi semata, namun juga ukhrawi.. Yukk, ngaji Islam kaffah biar nggak salah kaprah dan salah arah 😉☺️",Netral
MIo4tGN11j0,Bagi yang punya modal  ✔️ kabur aja dulu Bagi yang gk punya modal ❌ misuh aja dulu  😂😅,Positif
MIo4tGN11j0,"Nyatanya dari dulu orang indonesia sangat banyak kerja di luar negri,karna kerja di indonesia khususnya kaum menengah ke bawah sangat sulit  punya sisa buat nabung dari hasil kerja",Netral
MIo4tGN11j0,"Ingat kata2mu pak prabowo anda pernah bilang Indonesia bubar th 2030, sekarang anda pemimpin negeri ini, gejala Indonesia bubar sdh terlihat= korupsi dimana mana, PHK dimana mana, Indonesia gelap sudah mulai ke arah Indonesia bubar 2030",Positif
MIo4tGN11j0,"Memang Secara Fakta banyak orang sudah tahu, dan itu sudah dimulai dari zaman SBY, kalau hukum di indonesia itu lemah.  Hukum hanya membela yg bayar, dan sebagai alat politik. Tumpul ke orang kaya, kotuptor, pejabat tapi tajam ke rakyat kecil dan orang miskin.  Tapi anda bung remond hanya berani menyindir, indonesia gelap..emang pejabat dan koruptor dengan disindir sudah bisa sadar.  Kita rakyat kecil butuh generator utk membasmi para pejabat nakal dan koruptor, tidak usah banyak ngomong, jika ada hukum yg tidak berkeadilan langsung aja koordinasi kan demo besar2an. Misalnya nih..  1. Kasus Sambo memang viral, tapi awalnya vonis mati dan dirubah vonis seumur hidup ya pada diam. Dimana kamu bung remond yg kritis, dimana mahasiswa yg kritis.. Padahal kasus sambo itu bisa menyeret konsorsium judol yg melibatkan banyak jendral.. Kenapa kalian bisu semua, kenapa mahasiswa bisanya hanya menyalahkan presiden yg belum ketemu kasus korupsi dan kejahatannya..yg nyata2 sudah diadili dan tidak adil pada diam saja..siallll.  Tahu gak kasus sambo yg didiamkan akan memicu kejahatan selanjutnya, penjara seumur hidup diindinesia sama dengan kebebasan seumur hidup.. Penjara adalah milik para pejabat dan borjuis, dan bukan rahasia umum bahwa statusnya dipenjara tapi bisa keluyuran ke mana2.  2. Kasus novi setyanto Ketua DPR korup..apa yg dilakukan mahasiswa? Apakah demo besar2an? Demo besar 2an saya lihat hanya di kasus ahok yg terkesan dipolitisir.   3. Undang2 perampasan aset tidak  disahkan.  Apakah ada demo besar2an... Siall.. Kampret.. Gak ada..beraninya cuma ngomong indonesia gelap.. Tapi kejahatan dan ketidak adilan dibiarkan saja..  IBARAT KASARNYA NIH..: bung remond dan mahasiswa kritis: kalau ada maling didepan mata hanya melihat dan tidak berani nagkap atau gebukin, tapi jika malingnya udah lari.. Baru teriak... Malaing... Maling... Maling... Sialll..apa ada semua mau jadi pemuda2 lemah dalam cerita sejarah indonesia..  Saya belum subcribe karena, saya belum percaya dengan generasi muda saat ini.. Nyalinya ciut dan cengeng.. Beranianya cuma teriak2 aja..",Negatif
MIo4tGN11j0,Orang yg kerja di luar negeri kan menyumbang devisa negara juga jadi letak ga Nasionalisnya dimana?,Netral
MIo4tGN11j0,Sebaiknya jangan kabur dulu. Lawan aja dulu. Karena jumlahnya yg tak puas kan sebetulnya banyak. Maka LAWAN AJA DULU.,Negatif
MIo4tGN11j0,"Orang pintar (1)  kalah sama orang yg memiliki (2) uang, koneksi kedalam, dan muka tembok., lihat saja hasil test PTN, CPNS dll. Mereka yg secara akademis memiliki potensi terbaik justru kalah sama orang² dipoint kedua. Org pintar disingkirkan dg berbagai alasan yg bahkan sgt tdk logis dan sangat² deskriminatif misalnya saja TB kurang 0.5 cm, sekalipun lu pintar dan potensial akan ttp disingkirkan. Jadilah negara ini dipimpin oleh mereka yg memiliki IPK rendah atau bahkan dari kampus mana ia memperoleh ijazahnya saja patut dipertanyakan 😂",Positif
MIo4tGN11j0,"Semoga Allah melindungi generasi muda dan rakyat Indonesia dan muslimin muslimat di seluruh dunia dari kesulitan, semakin gelap   akan datangnya fajar kebangkitan Islam agar semua sejahtera  InsyaAllah Alhamdulillah Aamiin Allohumma Aamiin ❤",Netral
MIo4tGN11j0,"Pernahkah mendengar fenomena Tan Malaka? Kabur aja dulu..berjuang di negeri manca, tragis.. pulang"" tewas di negeri yg diperjuangkn utk kemerdekaan dr penjajahan. Tewas ditembak mati oleh tentara republik..bukan belanda",Negatif
