Video_ID,Teks_Komentar
MIo4tGN11j0,"berdoa tidak ada comment judol, amin."
MIo4tGN11j0,kereen.
MIo4tGN11j0,"Sempat mikir mau pindah ke negara sebelah, ngeapply citizenship. Tapi yah, aku cinta negara dan harapanku semoga negara ini bisa sembuh secepatnya."
MIo4tGN11j0,"Kalo kabur mau kemana ke Singapur ,emang di Singapur tinggal dimana rakyat Singapur aja nggak punya rumah mereka masih nyicil😂""katanya negara kaya Singapur """
MIo4tGN11j0,Jg ke malaysia.....pergi sono india bangla nepal serumpun....rupiah rupie
MIo4tGN11j0,gue mulai demen nih org
MIo4tGN11j0,Klo sudah gelap susah terangnya lebih baik bubar
MIo4tGN11j0,Siap siap ente motivator Indonesia gelap...dapet cipratan Marcela Santoso atau engga
MIo4tGN11j0,"Diskusi yg segar,menarik dan bermutu... Antara Raymond dan FS saling mengisi tanpa dominan atau menonjolkan diri... Hebatnya lg mereka berdua upgrade dgn  zaman saat ini sehingga topiknya mnjd menarik,tdk membosankan... Seandainya Indonesia memiliki 30% rakyat secerdas mereka berdua, Insyaallah Indonesia pasti maju... Semoga sehat selalu mereka berdua.... Aamiin yra"
MIo4tGN11j0,Jangan di take down ya video ini 😂 biar jadi pengingat agar tidak mudah terinfluence netizen buzzer Indonesia gelap.
MIo4tGN11j0,Nah loh....marcela santoso koruptor CPO seorang pemodal Indonesia gelap. 😂😂😂😂
MIo4tGN11j0,Pengen kabur tapi gak punya uang😭
MIo4tGN11j0,Kalau mau pindah ke luar negeri ya silahkan saja...kenapa mesti koar koar ya. Kagak ngatri ane...
MIo4tGN11j0,"Di sana tempat lahir beta , di buai di besarkan bunda , tempat berlindung di hari tua"
MIo4tGN11j0,18.35_sosoknya mr. TM di era awal indo berdiri. Tiap masa_ada orang nya Tiap orang_ada masa nya Tuhan_pemilik masa Kebenaran_ada jalanya sendiri.
MIo4tGN11j0,#kokori....
MIo4tGN11j0,Arab Saudi investasi di Amerika 10.000 triliun sedangkan di negara ini hanya 50 miliar🤣
MIo4tGN11j0,"Ini yang lebih cocok jadi WAPRES, bukan yg Itu......."
MIo4tGN11j0,Pembohongan publik
MIo4tGN11j0,"1 hal orang"" bagi yg sudah diluar negeri semuanya diujung pemikirannya pasti pengen balik ke Indonesia.  Kecuali yg suka dunia fleksibilitas nya glamor pasti memilih hidup diluar negeri . Mitisnya diluar negeri pajaknya tinggi semua pasti ngeluh   Sebenernya dunia inu sudah tidak baik"" saja dlm ekonomi,  gk usah munafik"
MIo4tGN11j0,"Kak ini dari aku minta tolong, dari belajar ke kaka yg emg bner* masih nol banget la termasuknya, dari ""kosakata2 asing"" yang kaka pake minta tolong ada penjelasannya ya kak biar ngga ke skip. Soalnya kl ke skip ya bingung juga di kelanjutannya 😭🙏🏻 tapi uda keren bgt. Aku banyak belajar dan jadi makin banyak tau informasi dari kak ray. Makasi kak🙏🏻"
MIo4tGN11j0,"aku yang masih sma agak bingung sma pembahasan iniii, banyak bahasa yang  aku kurang tau, tpi its ok lah blajar sdikit"" kta, ada yang snasib tidak ini?😵😵"
MIo4tGN11j0,Revolusi?💀
MIo4tGN11j0,"gk ada bosennya kombinasi reymond dan ustad felix, tap"
MIo4tGN11j0,Mntabz👌👌👌
MIo4tGN11j0,Org semacam ini yg sepatut nya memimpin indonesia.bukan sekalas wapppprrs
MIo4tGN11j0,#indonesiasakitt
MIo4tGN11j0,mau berterimakasih pada Allah karena tahun 2025 ketemu escape. dan akhirnya sekarang diriku yakin kalau best pairing of 2025 itu ustadz felix sama raymond chin.
MIo4tGN11j0,"Nyampenya viti ini ke aku, Tuhan ingin sampaikan bahwa aku ga sendirian. Izin gabung secara idea y..."
MIo4tGN11j0,"Saya udah kabur 30 tahun dari indonesia, yang disayang kan indonesia memegang sistem 1 kewarganegaraan, jadi orang2 yang milih jadi warga negara lain harus lepas kewarga negara an Indonesia, moga2 bisa dirubah, supaya orang2 indonesia yang sudah tinggal di luar jadi warga negara laen, masi bisa pulang dan menetap di homeland in the future if a change happens in their life."
MIo4tGN11j0,"Dukung terus Abang Abang ini ni,,,sungguh mencerdaskan ,,,,"
MIo4tGN11j0,🎉🎉🎉😢😢😢😢😢
MIo4tGN11j0,"""Allah milihin tempat ku disini Berarti tempat dakwah ku disini"" Hm.."
MIo4tGN11j0,"Bang @RaymondChins dan Bang @FelixSiaw, aku cuma mau nanya, "" Kenapa ada Polisi Tidur di Komplek2 Tentara ?"".  Terima kasih banyak."
MIo4tGN11j0,TOLONG INI BACAAN BUKU MEREKA APASIH BANTU JAWABB BG
MIo4tGN11j0,Merdeka!!!
MIo4tGN11j0,Dialognya sangat keren
MIo4tGN11j0,QS : 2/216
MIo4tGN11j0,"YANG PASTI SUDAH TIDAK NASIONALIS ITU ADALAH PARA WAKIL RAKYAT DAN PARA BIROKRAT NEGERI KITA. APA ALASANNYA SEHINGGA MENYATAKAN SEPERT ITU (?) 1. Korupsi tidak sungguh sungguh untuk diatasi, ( jika memang sungguh sungguh berniat untuk memberantas KORUPSI, sehatusnya para KORUPTOR dihukum seberat beratnya, yaitu HUKUMAN MATI & PEMISKINAN PARA KORUPTOR.( Pengembalian Asset Negara ).  SUMBER DAYA ALAM NEGERI KITA ITU SANGAT KAYA, tapi tidak pernah dibukakan lapangan kerjanya. ( Bisa untuk Pertanian Rakyat atau Pertambangan Rakyat )  PAHLAWAN DI NEGERI YANG BOBROK AKAN DIANGGAP SEBAGAI PESAKITAN  seperti PELAKU KEJAHATAN .  Dan itu semua sudah terjadi di negeri kita; ( betapa bobroknya moral pembuat aturan & moral pengambil keputusan.)"
MIo4tGN11j0,"Mau tapi.. Bukan gx bisa,bukan gx mampu Tapi gax ""boleh"" Emg gini di +62...  Kalo mau naik derajat mending kabur ajah dulu... kecuali loe org"" yg iq nya di atas rata"""
MIo4tGN11j0,saya mendekati apatis krn sistem yg diciptakan rezim ga menyisakan peluang utk diruntuhkan
MIo4tGN11j0,Apa udah rekrut nakama
MIo4tGN11j0,.Vi........ Va.............!  🇯🇴  🇮🇩
MIo4tGN11j0,"Perjuangan kita berat kawan, karena kita bukan melawan musuh dari luar, tetapi musuh saudara kita sendiri."
MIo4tGN11j0,Berbahagialah teuku firmansyah dan keluarganya yg bisa kabur duluan
MIo4tGN11j0,"""Tunjukanlah kepada kami jalan  yang lurus"" .... itu jalan yg tidak mudah bro...akan slelau ada rintangan, ancaman/terror.. dan itu adalah ladang jihad seorang muslim dan Allah kan selalu membimbing orang2 sperti beliau2 ini.... ya Allah jagalah beliau2 ini agar selelau tetap istiqomah .....ammmiin."
MIo4tGN11j0,"Ketika 2 orang cerdas dipertemukan, pembahasan yang sangat2 bermanfaat & berfaedah"
MIo4tGN11j0,Waktunya edotense pak Harto 😂
MIo4tGN11j0,"Mau ganti presiden 100x kali, Indonesia masih gelap 😂"
MIo4tGN11j0,12:11 orang tua apaan kayak gitu😂
MIo4tGN11j0,MasyaAllah tabarakallah
MIo4tGN11j0,"Sistem tidak berjalan dengan baik ditambah oknum,  Tidak bisa ganti sistem,  Edukasi di ring luar dampak nya sangat kecil,  Kenapa ga coba masuk sistem dan membenahi peraturan dan berbagai hal lainnya dalam ketatanegaraan ,  Dengan gagasan inovasi representasi pemikiran koh Raymond dan ust felix untuk merubah Indonesia jadi lebih baik"
MIo4tGN11j0,Yg alling dtakutin imam ali bin abi thalib itu diamnya orang baik
MIo4tGN11j0,save  @RaymondChins dan ustadz @FelixSiauw1453
MIo4tGN11j0,Obrolan yg bikin pintar.... Keren sih....
MIo4tGN11j0,"Menurut saya ya, mau siapapun yang jadi presiden, Indonesia tuh tetep bakal kayak gini, kecuali sistem pemerintahan nya yang diubah"
MIo4tGN11j0,"Zaman sekarang berarti NKRI Harga mati itu maksudnya, berjuang dalam negeri, bukan perang militer demi negeri."
MIo4tGN11j0,Alhamdulilahirabbil Aalamiin
MIo4tGN11j0,Yg kanan cerdas making money dgn membuat pemirsa jadi semakin pinter. Yg kiri cerdik creating money dgn membuat pengikut jadi semakin bloon.
MIo4tGN11j0,"Kabur aja dulu, minimal duitnya.. males megang rupiah"
MIo4tGN11j0,Yg pntg BS memberantas semua koruptor
MIo4tGN11j0,how do i tell my parents about i need more space than Indonesia to upgrade my own self?
