slang,baku
yg,yang
aja,saja
ga,tidak
gak,tidak
gw,saya
kalo,kalau
udah,sudah
lu,kamu
org,orang
sih,sih
tau,tahu
dgn,dengan
tp,tapi
negri,negeri
gue,saya
gk,tidak
klo,kalau
sampe,sampai
utk,untuk
dah,sudah
dr,dari
udh,sudah
jg,juga
tdk,tidak
kayak,seperti
nih,ini
jd,jadi
bgt,banget
d,di
karna,karena
ko,kok
krn,karena
ln,luar negeri
dong,dong
sdh,sudah
liat,lihat
lo,kamu
deh,deh
mah,memang
tuh,itu
nggak,tidak
ngga,tidak
ku,aku
g,tidak
dapet,dapat
pake,pakai
ama,sama
kek,seperti
jt,juta
uda,sudah
lg,lagi
skrg,sekarang
jgn,jangan
bg,bang
bs,bisa
dg,dengan
blm,belum
dlu,dulu
doang,saja
sy,saya
dlm,dalam
pinter,pintar
trus,terus
sm,sama
denger,dengar
gede,besar
thn,tahun
sma,sma
th,tahun
cuman,hanya
yaa,ya
diatas,di atas
temen,teman
lbh,lebih
bnyk,banyak
wkwkwk,hahaha
sebenernya,sebenarnya
kak,kakak
ngak,tidak
dengerin,dengarkan
wkwk,haha
dpt,dapat
kayanya,sepertinya
kayaknya,sepertinya
kl,kalau
tpi,tapi
loe,kamu
gabisa,tidak bisa
disuruh,di suruh
dikasih,diberi
eh,eh
tetep,tetap
orng,orang
taun,tahun
dalem,dalam
abis,habis
ni,ini
nanya,bertanya
duluan,duluan
krja,kerja
gmn,gimana
bnyak,banyak
ttg,tentang
mentri,menteri
loh,lho
kah,kah
ngerasa,merasa
ngasih,memberi
mikirin,memikirkan
ngapain,ngapain
ngomongin,membicarakan
krna,karena
mulu,melulu
cm,cuma
msh,masih
smua,semua
spt,seperti
diindonesia,di indonesia
trs,terus
tu,itu
tsb,tersebut
smp,smp
ato,atau
skrng,sekarang
inget,ingat
kagak,tidak
emg,memang
moga,semoga
masi,masih
ajah,saja
apaan,apa
nambah,menambah
ngerti,mengerti
sll,selalu
nunggu,menunggu
dri,dari
sya,saya
smoga,semoga
kyk,seperti
sbg,sebagai
ad,ada
hrs,harus
byk,banyak
sd,sd
enggak,tidak
dikit,sedikit
mo,mau
donk,dong
engga,tidak
wapres,wakil presiden
ter,ter
ttp,tetap
ipk,ipk
ny,nya
ntar,nanti
bhs,bahasa
ustd,ustadz
jga,juga
gass,gas
bpk,bapak
tk,tk
cmn,cuma
gpp,tidak apa-apa
gausah,tidak usah
habisin,habiskan
ngk,tidak
gx,tidak
wkwkw,hahaha
yak,ya
smk,smk
mrk,mereka
lha,lha
ninggalin,meninggalkan
plis,tolong
knp,kenapa
dinegara,di negara
kt,kita
kpd,kepada
dn,dan
nyebut,menyebut
kepake,terpakai
wn,warga negara
pasport,paspor
kk,kakak
aj,saja
ijin,izin
drpd,daripada
nurut,nurut
ngurus,mengurus
thx,terima kasih
pantes,pantas
progam,program
ortu,orang tua
nge,nge
nyampe,sampai
emng,memang
pemerinta,pemerintah
bbk,bbk
segitu,segitu
bangg,bang
wamennya,wakil menteri
ngeluh,mengeluh
bner,benar
apasih,apa sih
diomongin,dibicarakan
disni,di sini
bln,bulan
sgt,sangat
klu,kalau
ginian,beginian
adl,adalah
smpe,sampai
gaz,gas
hny,hanya
bl,bulan
setau,setahu
rada,agak
dipemerintahan,di pemerintahan
ngeliat,melihat
ngancem,mengancam
bilangnya,bilangnya
mslhnya,masalahnya
mslh,masalah
kudu,harus
yaah,ya
seneng,senang
sndiri,sendiri
perduli,peduli
prnh,pernah
paud,paud
hp,hp
trutama,terutama
blg,bilang
syaa,saya
kesini,ke sini
min,admin
lgi,lagi
masarakat,masyarakat
dngan,dengan
ampe,sampai
ngambil,mengambil
gag,tidak
dinegeri,di negeri
jan,jangan
bnrn,benar
diln,di luar negeri
ortunya,orang tuanya
ajaa,saja
kaga,tidak
biarin,biarkan
bayangin,bayangkan
kasian,kasihan
disekolahin,disekolahkan
jdi,jadi
gamau,tidak mau
diem,diam
kerasa,terasa
nyesel,menyesal
mnjd,menjadi
makasi,terima kasih
iniii,ini
bloon,bodoh
tdak,tidak
diawal,di awal
cpns,cpns
tb,tb
ig,instagram
makannya,makanya
ngetik,mengetik
idup,hidup
klau,kalau
ngatain,mengata-ngatai
jelasin,jelaskan
kerana,karena
chanel,channel
aq,aku
bj,bj
ngakui,mengakui
jngn,jangan
pdhl,padahal
mkn,makan
dishare,dibagikan
pen,ingin
ugm,ugm
mentrinya,menterinya
